Question,Answer
"Write short notes about mega phone.","A megaphone is a horn-shaped device used to address a small gathering of people. Its one end is wide and the other end is narrow. When a person speaks at the narrow end, the sound of his speech is concentrated by the multiple reflections from the walls of the tube. Thus, his voice can be heard loudly over a long distance."
"If the frequency of waves lies between 20 Hz and 20 KHz then, they are: 
(a) infrasonic waves 
(b) ultrasonic waves 
(c) audible waves 
(d) transverse waves","(c) audible waves"
"The frequency of an infrasonic wave is: 
(a) 20 Hz 
(b) below 20 Hz 
(c) above 20 Hz 
(d) above 20 KHz","(b) below 20 Hz"
"The sound waves having frequency greater than 20 KHz are known as: 
(a) audible waves 
(b) ultrasonic waves 
(c) infrasonic waves 
(d) mechanical waves","(b) ultrasonic waves"
"Which of the following waves cannot be detected by human ear? 
(a) audible wave 
(b) infrasonic wave 
(c) ultrasonic wave 
(d) mechanical wave","(c) ultrasonic wave"
"Which waves are generated by stretched strings? 
(a) audible waves 
(b) sound waves 
(c) ultrasonic waves 
(d) infrasonic waves","(a) audible waves"
"The waves produced during earthquake, ocean waves are known as: 
(a) audible waves 
(b) infrasonic waves 
(c) ultrasonic waves 
(d) mechanical waves","(b) infrasonic waves"
"Sound wave belong to: 
(a) mechanical waves 
(b) electromagnetic waves 
(c) transverse waves 
(d) waves","(a) mechanical waves"
"The waves produced by bats are called: 
(a) infrasonic waves 
(b) ultrasonic waves 
(c) electromagnetic waves 
(d) mechanical waves","(b) ultrasonic waves"
"At N.T.P speed of sound waves in air is about: 
(a) 3 x 10⁸ m/s 
(b) 3 x 10⁻⁸ m/s 
(c) 340 cm/s 
(d) 340 m/s","(d) 340 m/s"
"Sound waves are: 
(a) mechanical waves 
(b) longitudinal waves 
(c) transverse waves 
(d) waves","(b) longitudinal waves"
"The velocity of sound is least in ………. medium. 
(a) solid 
(b) liquid 
(c) gaseous 
(d) water","(c) gaseous"
"Velocity of sound ……… as the density of the solid increases. 
(a) increases 
(b) decreases 
(c) changes 
(d) none of the above","(b) decreases"
"Velocity of sound at a temperature T is given by: 
(a) VT = (V₀ + 0.61 T) 
(b) VT = V₀/273 
(c) VT = (V₀ – 0.61 T) 
(d) VT = V₀(0.61T)","(a) VT = (V₀ + 0.61 T)"
"In the case of reflection of sound waves angle of incidence is: 
(a) less than angle of incidence 
(b) equal to angle of incidence 
(c) greater than angle of incidence 
(d) greater than angle of refraction.","(b) equal to angle of incidence"
"The direction of compression is reversed during: 
(a) refraction 
(b) reflection at the boundary of a denser medium 
(c) reflection at the boundary of a rarer medium 
(d) reflection at the boundary of a curved surface","(b) reflection at the boundary of a denser medium"
"Which of the following property of sound waves is used in ultrasonography? 
(a) Reflection of sound 
(b) Refraction of sound 
(c) Echo sound 
(d) Doppler effect sound","(c) Echo sound"
"A wave of length 0.60 cm is produced in air and travels with a velocity of 340 ms⁻¹. Will it be audible to the human ear?","Wavelength, λ = 0.6 × 10⁻² m
Velocity of sound, v = 340 ms⁻¹
Frequency, n = v/λ
⇒ n = 340/(0.6 × 10⁻²)
⇒ n = 566.66 × 10²
⇒ n = 567 × 10² Hz.
Since this frequency is 56,700 Hz, which is greater than 20,000 Hz, it will not be audible to the human ear."
"Audible frequencies have a range of 20 Hz to 20,000 Hz. Express it in terms of wavelength in air.","Let the velocity of sound in air be 340 m/s
Initial frequency v₁ = 20 Hz
Initial wavelength λ₁ = v/v₁
= 340/20 = 17 m
Final frequency v₂ = 20 × 10³ Hz
Final wavelength λ₂ = 340/(20×10³)
= 17 × 10⁻³ = 0.017 m
The range of wavelength is from 17 m to 0.017 m"
"Write down the applications of echo?","Applications of echo:
* Some animals communicate with each other over long distances and also locate objects by sending the sound signals and receiving the echo as reflected from the targets.
* The principle of echo is used in obstetric ultrasonography, which is used to create real-time visual images of the developing embryo or fetus in the mother's uterus. This is a safe testing tool, as it does not use any harmful radiations.
* Echo is used to determine the velocity of sound waves in any medium."
"Classify sound waves based on their frequencies.","(i) Audible waves: These are sound waves with a frequency ranging between 20 Hz and 20,000 Hz. These are generated by vibrating bodies such as vocal cords, stretched strings etc.

(ii) Infrasonic waves: These are sound waves with a frequency below 20 Hz that cannot be heard by the human ear. eg: waves produced during earth quake, ocean waves, sound produced by whales, etc.

(iii) Ultrasonic waves: These are sound waves with a frequency greater than 20 kHz, Human ear cannot detect these waves, but certain creatures like mosquito, dogs, bats, dolphins can detect these waves, eg: waves produced by bats."
"Write down the concept of Ear trumpet and Megaphone.","Ear trumpet:
* Ear trumpet is a hearing aid, which is useful by people who have difficulty in hearing.
* In this device, one end is wide and the other end is narrow. The sound from the sources fall into the wide end and are reflected by its walls into the narrow part of the device. This helps in concentrating the sound and the sound enters the eardrum with more intensity. This enables a person to hear the sound better.

Megaphone:
* A megaphone is a horn-shaped device used to address a small gathering of people.
* It's one end is wide and the other end is narrow. When a person speaks at the narrow end, the sound of his speech is concentrated by the multiple reflections from the walls of the tube. Thus, his voice can be heard loudly over a long distance."
"A sound wave has a frequency of 200 Hz and a speed of 400 ms⁻¹ in a medium. Find the wavelength of the sound wave.","Speed of sound wave v = 400 m/s
Frequency of sound wave n = 200 Hz
∴ Wavelength sound wave λ = v/n
= 400/200 = 2 m
∴ Wavelength = 2 m"
"The thunder of the cloud is heard 9.8 seconds later than the flash of lightning. If the speed of sound in air is 330 ms⁻¹, what will be the height of the cloud?","The height of the cloud (distance) = speed of sound × time
d = v × t = 330 × 9.8 = 3234 m
The height of the cloud is 3234 m."
"A person who is sitting at a distance of 400 m from a source of sound is listening to a sound of 600 Hz. Find the time period between successive compressions from the source?","Distance of the observer = 400 m
Frequency of sound n = 600 Hz
Let velocity of sound be v = 330 m/s
Wavelength λ = v/n = 330/600
= 55 × 10⁻² = 0.55 m
Distance between two successive compressions is λ/2
Time period successive compressions is = 1/(λ/2)
= 2/λ = 2/0.55
T = 2/0.55 = 3.6363 second
Time period = 3.6363 second."
"An ultrasonic wave is sent from a ship towards the bottom of the sea. It is found that the time interval between the transmission and reception of the wave is 1.6 seconds. What is the depth of the sea, if the velocity of sound in the seawater is 1400 ms⁻¹?","Time interval t = 1.6 s
Velocity of sound in water = 1400 m/s.
Depth of the sea = v×t/2
= 1400×1.6/2
= 1120 m
Depth of the sea = 1120 m"
"Air temperature in the Rajasthan desert can reach 46°C. What is the velocity of sound in air at that temperature? (V₀ = 331 ms⁻¹)","Velocity of sound at 0°C is V₀ = 331 ms⁻¹
Let the sound at 46°C is be vt
vt/v₀ = √((273+T)/273)
where temperature is T = 46°C
= √((273+46)/273)
= √(319/273)
= √1.168
= 1.080
vt = 331 × 1.080 = 357.48 m/s.
∴ Velocity of sound in air at that temperature = 357.48 m/s."
"Explain why the ceilings of concert halls are curved.","1. These are basically curved surfaces (concave), which are used in auditoria and halls to improve the quality of sound. This board is placed such that the speaker is at the focus of the concave surface.
2. The sound of the speaker is reflected towards the audience thus improving the quality of sound heard by the audience."
"Mention two cases in which there is no Doppler effect in sound?","1. When source (S) and listener (L) both are at rest.
2. When S and L move in such a way that distance between them remains constant."
