Question,Answer
"The temperature of the interior of Sun is about _______. 
(a) 1.4 × 10⁷ K 
(b) 10⁸ K 
(C) 14 × 10⁷ K 
(d) 600 K.","(a) 1.4 × 10⁷ K"
"Total energy radiated by Sun is about _______. 
(a) 3.6 × 10²⁸ Js⁻¹ 
(b) 3.8 × 10²⁸ Js⁻¹ 
(c) 3.8 × 10²⁶ Js⁻¹ 
(d) 3.8 × 10²³ Js⁻¹.","(c) 3.8 × 10²⁶ Js⁻¹"
"Cathode rays are discovered by _______.","J.J. Thomson."
"Positive rays discovered by _______.","Goldstein."
"The chargeless particles are called neutron, it was discovered by _______.","James Chadwick."
"Ernest Rutherford explained that the mass of an atom is concentrated in its central part called _______.","Nucleus."
"The radioactive elements emit harmful radiations are ______, ______, ______ rays.","alpha, beta, gamma."
"_______ is an spontaneous process.","Natural radioactivity."
"The element whose atomic number is more than 83 undergoes _______.","spontaneous process."
"_______ radioactive material is present in the ore of pitchblende.","Uranium."
"_______ are the example of artificial (or) man-made radioactive elements.","Boron, Aluminium."
"The element whose atomic number is less than 83 undergoes _______.","induced radioactivity."
"_______ is an controlled manner.","Artificial radioactivity."
"Spontaneous radioactivity is also known as _______.","Natural radioactivity."
"One Curie is equal to _______ disintegrations per second.","3.7 × 10¹⁰"
"One Rutherford (Rd) is equal to _______ disintegrations per second.","10⁶"
"The radioactive displacement law is framed by _______.","Soddy and Fajan."
"During the α decay process, the atomic number is _______ by 2 and the mass number is decreases by _______.","decreases, 4."
"Identify A, B, C, and D from the following nuclear reactions. 
₉₂U²³⁸ → ₉₀Th²³⁴ + A 
₁₃Al²⁷ + B → ₁₅P³⁰ + C 
₁₅P³² → ₁₆S³² + D","A is alpha particle, B is neutron, C is proton and D is electron."
"A radon specimen emits radiation of 3.7 × 10³ GBq per second. Convert this disintegration in terms of a curie, (one curie = 3.7 × 10¹⁰ disintegration per second)","1 Bq = one disintegration per second
one curie = 3.7 × 10¹⁰ Bq
3.7 × 10³ GBq = 3.7 × 10³ × 10⁹ Bq = 3.7 × 10¹² Bq
3.7 × 10¹² Bq = 3.7 × 10¹²/(3.7 × 10¹⁰) curie = 100 curie"
"₉₂U²³⁵ experiences one α – decay and one β – decay. Find the number of neutrons in the final daughter nucleus that is formed.","Let X and Y be the resulting nucleus after the emission of the alpha and beta particles respectively.
₉₂U²³⁵ → ₉₀X²³¹ + ₂He⁴
₉₀X²³¹ → ₉₁Y²³¹ + ₋₁e⁰
Number of neutrons = Mass number – Atomic number = 231 – 91 = 140."
"Calculate, the amount of energy released when a radioactive substance undergoes fusion and results in a mass defect of 2 kg.","Mass defect in the reaction (m) = 2 kg
Velocity of light (c) = 3 × 10⁸ ms⁻¹
By Einstein's equation,
Energy released E = mc²
= 2 × (3 × 10⁸)²
= 1.8 × 10¹⁷ J."
"₉₂U²³⁸ emits 8α particles and 6β particles. What is the neutron / proton ratio in the product nucleus?","₉₂U²³⁸ → ₂Z^A + 8α + 6β
Z = 92 - 8(2) + 6(1) = 92 - 16 + 6 = 82
A = 238 - 8(4) = 238 - 32 = 206
Number of neutrons = A - Z = 206 - 82 = 124
Number of protons = Z = 82
Neutron/proton ratio = 124/82 = 1.51"
"The element with atomic number 84 and mass number 218 change to another element with atomic number 84 and mass number 214. The number of α and β particles emitted are respectively?","₈₄X²¹⁸ → ₈₄Y²¹⁴ + xα + yβ
For atomic number: 84 = 84 - 2x + y
Therefore, 2x = y
For mass number: 218 = 214 + 4x
Therefore, 4 = 4x
x = 1
y = 2x = 2
Number of alpha decay, x = 1
Number of beta decay, y = 2."
"The number of α and β particles emitted in the nuclear reaction ₉₀Th²²⁸ → ₈₃Bi²¹² are respectively.","₉₀Th²²⁸ → ₈₃Bi²¹² + xα + yβ
For atomic number: 90 = 83 - 2x + y
Therefore, 7 = -2x + y
For mass number: 228 = 212 + 4x
Therefore, 16 = 4x
x = 4
7 = -2(4) + y
7 = -8 + y
y = 15
Number of alpha decay, x = 4
Number of beta decay, y = 15."
"Explain the principle and working of an atom bomb?","Atom bomb:
(i) The atom bomb is based on the principle of the uncontrolled chain reaction. In an uncontrolled chain reaction, the number of neutrons and the number of fission reactions multiply almost in a geometrical progression.

(ii) This releases a huge amount of energy in a very small time interval and leads to an explosion.

Structure:
(i) An atom bomb consists of a piece of fissile material whose mass is subcritical. This piece has a cylindrical void.

(ii) It has a cylindrical fissile material which can fit into this void and its mass is also subcritical. When the bomb has to be exploded, this cylinder is injected into the void using a conventional explosive.

(iii) The two pieces of fissile material join to form the supercritical mass, which leads to an explosion. During this explosion, a tremendous amount of energy in the form of heat, light and radiation is released.

(iv) A region of very high temperature and pressure is formed in a fraction of a second along with the emission of hazardous radiation like y rays, which adversely affect the living creatures. This type of atom bombs was exploded in 1945 at Hiroshima and Nagasaki in Japan during World War II."
"State and define the units of radioactivity.","Curie: It is the traditional unit of radioactivity. It is defined as the quantity of a radioactive substance which undergoes 3.7 × 10¹⁰ disintegrations in one second. This is actually close to the activity of lg of radium 226. 1 curie = 3.7 × 10¹⁰ disintegrations per second.

Rutherford (Rd): It is another unit of radioactivity. It is defined as the quantity of a radioactive substance, which produces 10⁶ disintegrations in one second.
1 Rd = 10⁶ disintegrations per second.

Becquerel (Bq): It is the SI unit of radioactivity is becquerel. It is defined as the quantity of one disintegration per second.

Roentgen (R): It is the radiation exposure of γ and x-rays is measured by another unit called roentgen. One roentgen is defined as the quantity of radioactive substance which produces a charge of 2.58 × 10⁻⁴ coulomb in 1 kg of air under standard conditions of pressure, temperature and humidity."
"Arrange α, β, γ rays in ascending order, on the basis of their penetrating power?","Ascending order:
* Alpha (α)
* Beta (β)
* Gamma (γ)"
"Arrange in ascending and descending order, on the basis of their Ionisation power. Alpha (α), Beta (β), Gamma (γ)","1. Ascending order: Gamma (γ), Beta (β), Alpha (α)
2. Descending order: Alpha (α), Beta (β), Gamma (γ)"
"Arrange in ascending and descending order, on the basis of their biological effect. Alpha (α), Gamma (γ), Beta (β)","1. Ascending order: Alpha (α), Beta (β), Gamma (γ)
2. Descending order: Gamma (γ), Beta (β), Alpha (α)."
"₈₈Ra²²⁶ experiences three α-decay. Find the number of neutrons in the daughter element.","₈₈Ra²²⁶ consider as a parent element that is ₈₈X²²⁶ and their daughter element is ₂Y^A
According to α decay process,
₈₈X²²⁶ → ₈₂Y²¹⁴ + 3α decay
During the 3α decay, the atomic number decreases by 6 and mass number decreases by 12.
So the number of neutrons in the daughter element
N = A – Z
N = 214 – 82 = 132
Number of neutrons in the daughter element N = 132."
"A cobalt specimen emits induced radiation of 75.6 millicurie per second. Convert this disintegration in to becquerel (one curie = 3.7 × 10¹⁰ Bq).","Cobalt specimen emits induced radiation = 75.6 millicurie per second
(1 curie = 3.7 × 10¹⁰ Bq)
So 75.6 millicurie = 75.6 × 10⁻³ × 1 curie
= 75.6 × 10⁻³ × 3.7 × 10¹⁰ Bq
= 279.72 × 10⁷
= 2.7972 × 10⁹ Bq
75.6 millicurie per second is equivalent to 2.7972 × 10⁹ Bq."
"Who discovered natural radioactivity?","Henri Becquerel was discovered natural radioactivity."
"Which radioactive material is present in the ore of pitchblende?","Uranium"
